Candidato - nome de urna;SG_PARTIDO;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_DECLARAR_BENS
EDMAR NUNES;PSL;BRASILEIRA NATA;61;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
EDMILSON DA MARINHA MERCANTE;PODE;BRASILEIRA NATA;66;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
EDMILSON DA ONG FIO DE LUZ;PODE;BRASILEIRA NATA;52;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;S
EDMILSON FIII;SOLIDARIEDADE;BRASILEIRA NATA;54;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
EDMUNDO CHOCOLATE;AVANTE;BRASILEIRA NATA;63;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
EDNA DA IZIDORA;UP;BRASILEIRA NATA;53;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
EDNA GONÇALVES;CIDADANIA;BRASILEIRA NATA;61;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;S
EDNA MOVIMENTA;PMN;BRASILEIRA NATA;44;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;S
EDSON ATIVISTA;PROS;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
EDSON CRUZ;PODE;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;S
EDSON PROFETA;PTC;BRASILEIRA NATA;67;MASCULINO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;S
EDSON SANTOS PHOENIX;PP;BRASILEIRA NATA;50;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;S
EDSON SOUZA;PL;BRASILEIRA NATA;33;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
EDU MAYER;CIDADANIA;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
EDUARDO ALMEIDA;UP;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
EDUARDO APLICATIVOS;PATRIOTA;BRASILEIRA NATA;47;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
EDUARDO BESSA;PP;BRASILEIRA NATA;33;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
EDUARDO BOLINA DA CNI;REDE;BRASILEIRA NATA;38;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
EDUARDO CALDEIRA ;PDT;BRASILEIRA NATA;55;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;S
EDUARDO COSSO DADINHO;PROS;BRASILEIRA NATA;56;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
EDUARDO DA AMBULÂNCIA;PSC;BRASILEIRA NATA;68;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
EDUARDO GUERRA;DEM;BRASILEIRA NATA;46;MASCULINO;LÊ E ESCREVE;CASADO(A);SEM INFORMAÇÃO;S
EDUARDO KALIL;PL;BRASILEIRA NATA;50;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
EDUARDO MAGNO;PSL;BRASILEIRA NATA;51;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
EDUARDO NOVAIS;PT;BRASILEIRA NATA;57;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;N
EDUARDO OTONI;SOLIDARIEDADE;BRASILEIRA NATA;30;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
EDUARDO PALMEIRA;REPUBLICANOS;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
EDUARDO PIMENTA;SOLIDARIEDADE;BRASILEIRA NATA;57;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;S
ELAINE BRANCO;PROS;BRASILEIRA NATA;53;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ELAINE LEITE;AVANTE;BRASILEIRA NATA;50;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
ELCIO DO CHALÉ DA COSTELA;PSD;BRASILEIRA NATA;58;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ELCIO JUNIOR;PTC;BRASILEIRA NATA;40;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;S
ELDICE DOS SANTOS;PRTB;BRASILEIRA NATA;68;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;N
ELENA LAIA;PATRIOTA;BRASILEIRA NATA;52;FEMININO;LÊ E ESCREVE;CASADO(A);PARDA;S
ELENICE DA SAÚDE;CIDADANIA;BRASILEIRA NATA;60;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;N
ELI PINHEIRO;PROS;BRASILEIRA NATA;44;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
ELIANA GONÇALVES;PROS;BRASILEIRA NATA;39;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
ELIANE TURRA;NOVO;BRASILEIRA NATA;64;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ELIAS CAMILLO;PMN;BRASILEIRA NATA;46;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ELIAS DIAS;PRTB;BRASILEIRA NATA;34;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;N
ELIAS LALUZ ABRAS;PTB;BRASILEIRA NATA;72;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
ELIEZER SABINO;PSB;BRASILEIRA NATA;36;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;N
ELISANGELA DOS SANTOS;PT;BRASILEIRA NATA;45;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;N
ELIZETE MARTINS;REPUBLICANOS;BRASILEIRA NATA;58;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
ELIZETE MOTA;PSC;BRASILEIRA NATA;55;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;S
ELOÍSA NOGUEIRA;REPUBLICANOS;BRASILEIRA NATA;44;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;S
ELTON KEKE;PSB;BRASILEIRA NATA;61;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ELVIRO PORTO;PSB;BRASILEIRA NATA;61;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
ELVIRO SAMPAIO;REPUBLICANOS;BRASILEIRA NATA;75;MASCULINO;ENSINO MÉDIO COMPLETO;VIÚVO(A);PARDA;S
ELVIS CÔRTES;PSD;BRASILEIRA NATA;49;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
ELZI BARBOSA;PSB;BRASILEIRA NATA;60;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;N
EMANOEL SADY DO SINTTRAV;MDB;BRASILEIRA NATA;58;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;S
EMANUEL BONFANTE;PCB;BRASILEIRA NATA;79;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
EMANUEL SILVA;AVANTE;BRASILEIRA NATA;23;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
EMBAIXADOR CÓSMICO DA PAZ;PRTB;BRASILEIRA NATA;62;MASCULINO;ENSINO MÉDIO INCOMPLETO;DIVORCIADO(A);BRANCA;N
EMERSON ALEX;SOLIDARIEDADE;BRASILEIRA NATA;39;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
EMERSON MISAEL;PRTB;BRASILEIRA NATA;43;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;S
EMERSON RODRIGUES;REDE;BRASILEIRA NATA;36;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
ENDINHO DO SALÃO;PL;BRASILEIRA NATA;32;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;S
ENFERMEIRO EDEVAL;MDB;BRASILEIRA NATA;56;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ENFERMEIRO GABRIEL VENTURA;REPUBLICANOS;BRASILEIRA NATA;33;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
ENFERMEIRO HUD;PT;BRASILEIRA NATA;36;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
ENG. WELLINGTON LUCAS;PSL;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
ENGENHEIRO FABRÍCIO;REDE;BRASILEIRA NATA;38;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
ENIR PEREIRA;PL;BRASILEIRA NATA;53;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ERIKA LOPES;PATRIOTA;BRASILEIRA NATA;45;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
ERMINDA MARQUES;PT;BRASILEIRA NATA;49;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;N
ERNANE DE CÁSSIO;CIDADANIA;BRASILEIRA NATA;55;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;N
ERNANE PITANGUI;REPUBLICANOS;BRASILEIRA NATA;70;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ESPIGÃO DO GÁS;DEM;BRASILEIRA NATA;53;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
ESTOFADO COSTA;PSC;BRASILEIRA NATA;65;MASCULINO;LÊ E ESCREVE;DIVORCIADO(A);PARDA;N
EUDES MARIANO DO SALÃO;MDB;BRASILEIRA NATA;39;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PRETA;S
EULINA CRISTINA;PP;BRASILEIRA NATA;41;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
EVA AMBULANTE;PSB;BRASILEIRA NATA;50;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;N
EVA MEDEIROS;REPUBLICANOS;BRASILEIRA NATA;48;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;S
EVALDO ALVES;REPUBLICANOS;BRASILEIRA NATA;47;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;N
EVALDO DUARTE;PATRIOTA;BRASILEIRA NATA;52;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
EVANDRO SOUZA;REDE;BRASILEIRA NATA;51;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
EVANGELISTA ANDRÉ DIAS;PSD;BRASILEIRA NATA;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FABIANA MOSSEM;CIDADANIA;BRASILEIRA NATA;47;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;N
FABIANO DA DROGARIA MENEZES;MDB;BRASILEIRA NATA;43;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);PRETA;S
FABIO DA PAMPULHA;PSD;BRASILEIRA NATA;47;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;S
FÁBIO DA QUADRA;REDE;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
FABIO DE OLIVEIRA;PSC;BRASILEIRA NATA;39;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;S
FÁBIO RODRIGUES;PTC;BRASILEIRA NATA;53;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);PARDA;S
FÁBIO SANTOS;PDT;BRASILEIRA NATA;37;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;S
FABRICIO NUNES;REPUBLICANOS;BRASILEIRA (NATURALIZADA);43;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
FAFATE BITTENCOURT;PSL;BRASILEIRA NATA;65;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;N
FÁTIMA BURGER;PT;BRASILEIRA NATA;52;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
FELIPE COELHO;REDE;BRASILEIRA NATA;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
FELIPE PILÓ;PP;BRASILEIRA NATA;37;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FELIPE PRADO;PSDB;BRASILEIRA NATA;31;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PARDA;N
FELIPE REIS;PP;BRASILEIRA NATA;37;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
FELIPE SCARPELLI;AVANTE;BRASILEIRA NATA;35;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
FELIPPE BRANCO;PSOL;BRASILEIRA NATA;32;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PRETA;S
FERNANDA FERREIRA;PSD;BRASILEIRA NATA;39;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
FERNANDA PEREIRA ALTOÉ;NOVO;BRASILEIRA NATA;41;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FERNANDA SAMPAIO;CIDADANIA;BRASILEIRA NATA;49;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;S
FERNANDINHO DO SAMU;PSDB;BRASILEIRA NATA;46;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;N
FERNANDO DE NORONHA;PSB;BRASILEIRA NATA;55;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
FERNANDO FILHO DO PEREIRA;PSDB;BRASILEIRA NATA;47;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
FERNANDO LUIZ;PSD;BRASILEIRA NATA;63;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FERNANDO MEIRA DA ONG;PODE;BRASILEIRA NATA;39;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
FERNANDO SANTANA DO MAMBH;PV;BRASILEIRA NATA;62;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
FERRARI;SOLIDARIEDADE;BRASILEIRA NATA;57;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FERREIRA MOTOBOY;PSD;BRASILEIRA NATA;42;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FILIPE BATISTA;SOLIDARIEDADE;BRASILEIRA NATA;33;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
FILIPE IKIS;CIDADANIA;BRASILEIRA NATA;34;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;N
FILO;PTB;BRASILEIRA NATA;60;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FIRMINO DO PICOLÉ;PL;BRASILEIRA NATA;56;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;S
FLÁVIA BORJA;AVANTE;BRASILEIRA NATA;48;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FLÁVIA FIUZA;NOVO;BRASILEIRA NATA;50;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
FLAVIO ALEXANDRE;PL;BRASILEIRA NATA;50;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;S
FLAVIO CD;MDB;BRASILEIRA NATA;59;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
FLÁVIO DOS SANTOS;PSC;BRASILEIRA NATA;78;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
FLAVIO LUCIO;PSB;BRASILEIRA NATA;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
FLAVIO MINEIRO;PV;BRASILEIRA NATA;41;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;S
FORMIGA;PSB;BRASILEIRA NATA;49;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;S
FRANCIELE MORALES;PODE;BRASILEIRA NATA;30;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;S
FRANCIELLY LIMA;REPUBLICANOS;BRASILEIRA NATA;28;FEMININO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;N
FRANCISCO MARCELINO;AVANTE;BRASILEIRA NATA;42;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
FRANK DE PINHO;DEM;BRASILEIRA NATA;42;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);BRANCA;N
FRED AISC;DC;BRASILEIRA NATA;39;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
FRED PALMEIRA;PDT;BRASILEIRA NATA;50;MASCULINO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;S
FREDNEY MENDES;PT;BRASILEIRA NATA;58;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;S
GABI DO SANTUÁRIO PATAS;PATRIOTA;BRASILEIRA NATA;36;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;S
GABRIEL;PATRIOTA;BRASILEIRA NATA;34;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
GABRIEL  THALES;DEM;BRASILEIRA NATA;22;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;S
GABRIEL LOPO;UP;BRASILEIRA NATA;23;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;S
GABRIEL RIBAS;PTB;BRASILEIRA NATA;35;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
GABRIEL SAPUCAIA;NOVO;BRASILEIRA NATA;35;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
GABRIEL VAZ;NOVO;BRASILEIRA NATA;28;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;S
GABRIELA MARRECO;PCB;BRASILEIRA NATA;36;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
GABRIELLA ROBERTA;PDT;BRASILEIRA NATA;31;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
GAGUINHO DA LANTERNAGEM;DEM;BRASILEIRA NATA;49;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
GÊ;SOLIDARIEDADE;BRASILEIRA NATA;49;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
GEDEON DE SOUZA;DC;BRASILEIRA NATA;47;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
GEOVANE NEGÃO;PSB;BRASILEIRA NATA;30;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;N
GERALDA MAGALHÃES;PSB;BRASILEIRA NATA;75;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
GERALDA RODRIGUES;PP;BRASILEIRA NATA;55;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
GERALDINHO DA ASSOCIAÇÃO;PT;BRASILEIRA NATA;60;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
GERALDINHO DO GÁS;PT;BRASILEIRA NATA;57;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;S
GERALDO CABEÇÃO;REPUBLICANOS;BRASILEIRA NATA;47;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;N
GERALDO DA DISTRIBUIDORA ;PATRIOTA;BRASILEIRA NATA;49;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
GERALDO DO ESCOLAR;MDB;BRASILEIRA NATA;49;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
GERALDO MARACUNAIA;PDT;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
GERALDO NERES;UP;BRASILEIRA NATA;57;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;S
GERALDO RHODES;PTB;BRASILEIRA NATA;40;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
GERALDO SOARES;PSC;BRASILEIRA NATA;65;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
GESSÉ;PTB;BRASILEIRA NATA;54;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;S
GETÚLIO CORREIA;PC do B;BRASILEIRA NATA;35;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PARDA;S
GEZIEL RIBEIRO;PTC;BRASILEIRA NATA;52;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
GIGI DO SALÃO;PSD;BRASILEIRA NATA;36;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
GIL FISIOTERAPEUTA;PSL;BRASILEIRA NATA;35;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
GIL JÚNIOR;CIDADANIA;BRASILEIRA NATA;30;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;N
GILBERTO DA NORTE BH;CIDADANIA;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;N
GILBERTO DO DEPÓSITO;PTB;BRASILEIRA NATA;59;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
GILBERTO LOPES;REPUBLICANOS;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
GILBERTO SILVA;PODE;BRASILEIRA NATA;49;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;S
GILDETE ALVES;PSC;BRASILEIRA NATA;53;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;S
GILMAR DEPOSITO QUATRO IRMÃOS;PSC;BRASILEIRA NATA;45;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
GILSON GUIMARÃES;REDE;BRASILEIRA NATA;52;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PRETA;S
GILSON MAGALHAES;PL;BRASILEIRA NATA;55;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
GILSON REIS;PC do B;BRASILEIRA NATA;57;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
GINITHON FERREIRA;DEM;BRASILEIRA NATA;50;MASCULINO;LÊ E ESCREVE;CASADO(A);PARDA;S
GIOVANI MATOS;SOLIDARIEDADE;BRASILEIRA NATA;55;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
GIRLENE LAGES;AVANTE;BRASILEIRA NATA;51;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
GISELE DA MATA;NOVO;BRASILEIRA NATA;45;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
GISELE DO CERA;PSL;BRASILEIRA NATA;48;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
GLADSON REIS;PP;BRASILEIRA NATA;29;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;S
GLADSTONE;PATRIOTA;BRASILEIRA NATA;46;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;S
GLAUBER CALAZANS;PL;BRASILEIRA NATA;42;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PRETA;S
GLAUCIA DOS EVENTOS;PV;BRASILEIRA NATA;41;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;S
GLAURIA LELIS;PSC;BRASILEIRA NATA;31;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;N
GLEINE CARVALHO;PRTB;BRASILEIRA NATA;31;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
GLEYK SILVEIRA;PSB;BRASILEIRA NATA;39;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;N
GODOFREDO ALEIXO;REPUBLICANOS;BRASILEIRA NATA;56;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);BRANCA;N
GORETE DO MOVIMENTO;PSB;BRASILEIRA NATA;53;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PARDA;N
GRAÇA DA PIPOCA;PL;BRASILEIRA NATA;71;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
GRÃO MESTRE DUNGA;REDE;BRASILEIRA NATA;69;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PRETA;S
GRAZI ARAÚJO;PSC;BRASILEIRA NATA;40;FEMININO;SUPERIOR INCOMPLETO;VIÚVO(A);PARDA;S
GU;PSDB;BRASILEIRA NATA;34;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
GUDÃO;PP;BRASILEIRA NATA;53;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
GUILHERME BHERING EMPREGOS BH ;SOLIDARIEDADE;BRASILEIRA NATA;27;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;S
GUILHERME DA FARMACIA;DEM;BRASILEIRA NATA;60;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
GUILHERME GIMENEZ;PODE;BRASILEIRA NATA;30;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
GUILHERME NEVES;DEM;BRASILEIRA NATA;48;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
GUILHERME TAMPIERI;PSOL;BRASILEIRA NATA;32;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
GUILHERME TRINTA;AVANTE;BRASILEIRA NATA;41;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
GUIM PAGANNINY;PTC;BRASILEIRA NATA;45;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;S
GUINHO DISTRIBUIDORA POPULAR;PODE;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
GUSTAVO BENTES;PATRIOTA;BRASILEIRA NATA;43;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
